Year,County,Hospital,Hospital ID,Performance Measure,Total Statewide CABG Cases,Total Statewide CABG Cases for Performance Measure Reporting,Statewide Adverse Events,Statewide Adverse Events Rate (%),Total Hospital CABG Cases,Total Hospital CABG Cases for Performance Measure Reporting,Hospital Adverse Events,Hospital Observed Adverse Events Rate (%),Hospital Expected Adverse Events Rate (%),"Hospital Risk-Adjusted Adverse Events Rate (%,RAAER)",Hospital Lower 95% CI for RAAER,Hospital Upper 95% CI for RAAER,Performance Rating,Longitude,Latitude
2022,Alameda,Alta Bates Summit Medical Center,106010937,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,151,130,4,3.08,3.35,2.26,0.62,5.79,Average,-122.26,37.82
2022,Alameda,Washington Hospital – Fremont,106010987,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,91,83,2,2.41,2.05,2.90,0.35,10.46,Average,-121.98,37.56
2022,Alameda,Stanford Health Care Tri-Valley,106014050,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,94,71,1,1.41,2.26,1.53,0.04,8.55,Average,-121.88,37.69
2022,Butte,Enloe Medical Center– Esplanade,106040962,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,127,94,4,4.26,2.93,3.57,0.97,9.13,Average,-121.85,39.74
2022,Contra Costa,John Muir Medical Center – Concord Campus,106071018,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,280,244,1,0.41,2.76,0.37,0.01,2.03,Better,-122.04,37.99
2022,Contra Costa,San Ramon Regional Medical Center,106074017,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,19,18,0,0.00,2.45,0.00,0.00,20.56,Average,-121.96,37.78
2022,Fresno,Community Regional Medical Center – Fresno,106100717,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,26,23,3,13.04,8.40,3.82,0.79,11.16,Average,-119.78,36.74
2022,Fresno,Saint Agnes Medical Center,106100899,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,251,211,15,7.11,3.51,4.98,2.79,8.21,Worse,-119.76,36.84
2022,Fresno,Fresno Heart and Surgical Hospital,106105029,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,470,396,16,4.04,3.53,2.82,1.61,4.57,Average,-119.79,36.86
2022,Humboldt,Providence St. Joseph Hospital – Eureka,106121080,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,24,16,0,0.00,1.47,0.00,0.00,38.59,Average,-124.14,40.78
2022,Kern,Bakersfield Memorial Hospital,106150722,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,63,57,2,3.51,1.99,4.34,0.53,15.68,Average,-119.01,35.39
2022,Kern,Adventist Health Bakersfield,106150788,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,33,30,2,6.67,4.72,3.48,0.42,12.56,Average,-119.02,35.38
2022,Kern,Bakersfield Heart Hospital,106154101,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,46,43,1,2.33,1.49,3.84,0.10,21.41,Average,-119.04,35.39
2022,Los Angeles,Antelope Valley Hospital,106190034,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,38,37,1,2.70,3.48,1.91,0.05,10.66,Average,-118.16,34.69
2022,Los Angeles,St. Mary Medical Center – Long Beach,106190053,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,44,41,0,0.00,2.96,0.00,0.00,7.47,Average,-118.19,33.78
2022,Los Angeles,Beverly Hospital,106190081,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,11,10,0,0.00,2.22,0.00,0.00,40.95,Average,-118.10,34.02
2022,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,55,46,1,2.17,1.96,2.73,0.07,15.22,Average,-118.27,34.04
2022,Los Angeles,Centinela Hospital Medical Center,106190148,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,40,40,4,10.00,6.00,4.10,1.12,10.49,Average,-118.35,33.95
2022,Los Angeles,Lakewood Regional Medical Center,106190240,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,90,84,1,1.19,2.28,1.28,0.03,7.14,Average,-118.15,33.86
2022,Los Angeles,PIH Health Hospital – Downey,106190243,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,18,17,0,0.00,2.11,0.00,0.00,25.27,Average,-118.13,33.94
2022,Los Angeles,Garfield Medical Center,106190315,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,159,146,5,3.42,2.68,3.14,1.02,7.33,Average,-118.12,34.07
2022,Los Angeles,Adventist Health Glendale,106190323,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,81,74,2,2.70,2.39,2.79,0.34,10.06,Average,-118.23,34.15
2022,Los Angeles,Hollywood Presbyterian Medical Center,106190382,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,19,19,1,5.26,1.84,7.05,0.18,39.26,Average,-118.29,34.10
2022,Los Angeles,Providence Holy Cross Medical Center,106190385,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,57,50,0,0.00,2.14,0.00,0.00,8.50,Average,-118.46,34.28
2022,Los Angeles,PIH Health Good Samaritan Hospital,106190392,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,99,84,1,1.19,2.31,1.27,0.03,7.07,Average,-118.27,34.05
2022,Los Angeles,Huntington Hospital,106190400,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,109,92,1,1.09,1.51,1.76,0.04,9.83,Average,-118.15,34.14
2022,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,134,118,2,1.69,2.11,1.97,0.24,7.13,Average,-117.89,34.09
2022,Los Angeles,Torrance Memorial Medical Center,106190422,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,60,52,1,1.92,2.05,2.30,0.06,12.83,Average,-118.34,33.81
2022,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,793,666,11,1.65,2.15,1.89,0.94,3.39,Average,-118.30,34.10
2022,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,61,56,0,0.00,2.06,0.00,0.00,7.87,Average,-118.36,33.84
2022,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,52,47,2,4.26,2.71,3.86,0.47,13.96,Average,-118.53,34.17
2022,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Isolated CABG Operative Mortality,"15,200","12,564",309,2.46,77,73,0,0.00,2.93,0.00,0.00,4.24,Average,-118.26,34.13
