Year,County,Hospital,OSHPD ID,Performance Measure,# of Cases,# of Adverse Events,Risk-adjusted Rate,Performance Rating,Longitude,Latitude
2017-2018,AAA,STATEWIDE,,CABG + Valve Operative Mortality,"4,331",224,,,,
2017-2018,AAA,STATEWIDE,,CABG 30-Day Readmission,"22,407",2518,,,,
2017-2018,AAA,STATEWIDE,,Post-Operative Stroke,"25,838",408,,,,
2016-2017,AAA,STATEWIDE, ,CABG + Valve Operative Mortality,"4,531",210, , , , 
2016-2017,AAA,STATEWIDE, ,Post-Operative Stroke,"25,913",380, , , , 
2015-2016,AAA,STATEWIDE,,CABG + Valve Operative Mortality,"4,805",237,,,,
2015-2016,AAA,STATEWIDE,,CABG 30-Day Readmission,"22,136","2,531",,,,
2015-2016,AAA,STATEWIDE,,Post-Operative Stroke,"25,443",369,,,,
2018,AAA,STATEWIDE,,CABG Operative Mortality,"12,789",312,,,,
2017,AAA,STATEWIDE, ,CABG Operative Mortality,"13,049",290, , , , 
2016,AAA,STATEWIDE,,CABG Operative Mortality,"12,867",305,,,,
2014-2015,AAAA,STATEWIDE,,30-Day Readmission,21680,2494,11.5,,,
2014-2015,AAAA,STATEWIDE,,CABG + Valve Operative Mortality,5058,274,5.42,,,
2014-2015,AAAA,STATEWIDE,,Post-Operative Stroke ,24727,323,1.31,,,
2013-2014,AAAA,STATEWIDE,,CABG + Valve Operative Mortality,5239,293,5.59,,,
2013-2014,AAAA,STATEWIDE,,Post-Operative Stroke ,24092,308,1.28,,,
2011-2012,AAAA,STATEWIDE,,Post-Operative Stroke ,24119,358,1.48,,,
2015,AAAA,STATEWIDE,,CABG Operative Mortality ,12498,313,2.5,,,
2014,AAAA,STATEWIDE,,CABG Operative Mortality ,"12,152",239,1.97,,,
2013,AAAA,STATEWIDE,,30-day Readmission ,10740,1252,11.66,,,
2013,AAAA,STATEWIDE,,30-day Readmission ,10740,1252,11.66,,,
2013,AAAA,STATEWIDE,,CABG + Valve Operative Mortality,5150,309,6,,,
2013,AAAA,STATEWIDE,,CABG + Valve Operative Mortality,5150,309,6,,,
2013,AAAA,STATEWIDE,,CABG Operative Mortality ,11940,273,2.29,,,
